MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,AUDAT,ERDAT,WAERK,GBSTK,BSTNK
100,5000000047,ZOR,2000,20,00,0000100069,2026-04-22,2026-04-23,EGP,C,PO-52616
100,5000000048,OR,1000,10,00,0000100046,2026-04-03,2026-04-03,EGP,B,PO-93680
100,5000000049,OR,2000,20,01,0000100020,2025-01-22,2025-01-22,EGP,B,PO-13964
100,5000000050,ZOR,1000,10,00,0000100033,2025-09-21,2025-09-22,EGP,B,PO-84010
100,5000000051,OR,2000,10,01,0000100001,2026-05-29,2026-05-30,EGP,A,PO-53215
100,5000000052,OR,1000,20,00,0000100091,2026-08-08,2026-08-08,EGP,B,PO-70254
100,5000000053,OR,2000,20,01,0000100098,2026-02-08,2026-02-08,EGP,C,PO-80523
100,5000000054,OR,1000,20,00,0000100015,2026-08-15,2026-08-15,EGP,B,PO-41322
100,5000000055,OR,3000,10,00,0000100059,2025-05-31,2025-05-31,,A,PO-89978
100,5000000056,ZOR,1000,10,01,0000100068,2026-01-11,2026-01-11,EGP,B,PO-77362
100,5000000057,ZOR,2000,20,01,0000100013,2025-04-08,2025-04-08,EGP,A,PO-93830
100,5000000058,OR,3000,20,00,0000100089,2025-07-19,2025-07-19,EGP,B,PO-83490
100,5000000059,OR,3000,20,01,0000100019,2025-08-25,2025-08-25,,B,PO-21637
100,5000000060,OR,2000,20,01,0000100030,2025-12-11,2025-12-11,EGP,C,PO-30053
100,5000000061,OR,1000,20,00,0000100064,2025-06-21,2025-06-21,EGP,B,PO-36359
100,5000000062,OR,3000,10,01,0000100064,2026-01-07,2026-01-07,EGP,,PO-44640
100,5000000063,OR,1000,10,01,0000100087,2026-05-14,2026-05-14,EGP,C,PO-89657
100,5000000064,OR,1000,10,00,0000100099,2026-07-13,2026-07-13,EGP,C,PO-30646
100,5000000065,OR,3000,20,01,0000100014,2025-10-08,2025-10-08,EGP,C,PO-36838
100,5000000066,OR,1000,10,01,0000100007,2025-04-03,2025-04-03,EGP,C,PO-38544
100,5000000067,OR,3000,20,00,0000100042,2025-11-10,2025-11-10,EGP,C,PO-42535
100,5000000068,ZOR,2000,10,00,,2025-08-11,2025-08-12,EGP,B,PO-57150
100,5000000069,OR,3000,20,00,0000100043,2025-05-10,2025-05-10,EGP,C,PO-77805
100,5000000070,OR,1000,20,00,0000100018,2026-06-10,2026-06-10,EGP,C,PO-56580
100,5000000071,OR,2000,10,01,0000100008,2025-12-02,2025-12-03,EGP,C,PO-22973
100,5000000072,OR,1000,10,01,0000100073,2025-11-27,2025-11-27,EGP,C,PO-64384
100,5000000073,OR,2000,20,01,0000100065,,2025-03-31,EGP,C,PO-84350
100,5000000074,OR, 1000,10,01,0000100017,2025-12-07,2025-12-07,EGP,A,PO-78908
100,5000000075,OR,2000,10,00,0000100070,2026-04-17,2026-04-18,EGP,C,PO-83154
100,5000000076,OR,2000,10,01,0000100048,2025-05-28,2025-05-29,EGP,B,PO-75199
100,5000000077,OR,2000,20,01,0000100014,2025-08-09,2025-08-09,EGP,C,PO-97092
100,5000000078,OR,2000,10,01,0000100060,2026-01-27,2026-01-27,EGP,A,PO-14637
100,5000000079,OR,2000,10,00,0000100034,2025-04-04,2025-04-05,EGP,B,PO-85064
100,5000000080,OR,1000,20,01,0000100009,2025-08-09,2025-08-09,EGP,C,PO-77132
100,5000000081,OR,2000,20,00,0000100002,2026-06-20,2026-06-20,EGP,C,PO-49910
100,5000000082,OR,1000,20,00,0000100048,2025-09-21,2025-09-21,EGP,C,PO-60481
100,5000000083,OR,1000,20,01,0000100100,2026-13-05,2026-01-03,egp,B,PO-41818
100,5000000084,OR,2000,10,01,0000100012,2025-03-05,2025-03-05,EGP,B,PO-45863
100,5000000085,OR,1000,20,00,,2025-03-17,2025-03-17,EGP,B,PO-78222
100,5000000086,OR,2000,20,01,0000100003,,2025-09-04,EGP,C,PO-89174
100,5000000087,OR,2000,10,00,0000100060,2025-05-20,2025-05-20,EGP,C,PO-74735
100,5000000088,OR,1000,20,01,0000100033,2025/09/03,2025-09-03,EGP,C,PO-15923
100,5000000089,OR,2000,20,00,0000100032,2025-08-26,2025-08-26,EGP,C,PO-53782
100,5000000090,OR, 1000,20,00,0000100094,2025-03-14,2025-03-15,EGP,C,PO-13572
100,5000000091,OR,2000,10,00,0000100069,2026-03-12,2026-03-12,EGP,C,PO-39828
100,5000000092,OR,1000,10,01,0000100049,2025-06-20,2025-06-20,egp,C,PO-24303
100,5000000093,OR, 3000,20,01,0000100009,2026-05-23,2026-05-23,EGP,C,PO-28401
100,5000000094,OR,1000,10,00,0000100085,2025-09-22,2025-09-22,EGP,C,PO-55813
100,5000000095,OR,2000,10,00,0000100069,2025-12-21,2025-12-21,EGP,C,PO-89813
100,5000000096,OR,1000,20,00,0000100008,2026-04-13,2026-04-14,EGP,C,PO-72641
100,5000000097,OR,2000,20,01,0000100017,2026-06-19,2026-06-19,EGP,B,PO-80020
100,5000000098,OR,1000,10,01,0000100038,2026-01-10,2026-01-10,EGP,B,PO-45966
100,5000000099,OR,2000,20,01,0000100053,2026-06-07,2026-06-08,EGP,C,PO-84992
100,5000000100,ZOR,2000,20,00,0000100085,2025-08-12,2025-08-12,EGP,C,PO-47032
100,5000000101,OR,1000,10,01,0000100049,2026-08-12,2026-08-12,EGP,A,PO-80987
100,5000000102,ZOR,1000,20,01,0000100036,2025-07-12,2025-07-13,EGP,C,PO-44727
100,5000000103,OR,2000,10,00,0000100070,2026-01-06,2026-01-06,EGP,B,PO-82600
100,5000000104,OR,1000,20,01,0000100013,2026-04-13,2026-04-13,EGP,C,PO-34850
100,5000000105,OR,2000,10,00,0000100024,2026-02-02,2026-02-02,EGP,A,PO-48527
100,5000000106,OR,3000,20,01,0000100003,2026/02/05,2026-02-05,EGP,B,PO-34416
100,5000000107,OR,2000,10,01,0000100018,2025-12-06,2025-12-06,EGP,C,PO-88715
100,5000000108,OR,1000,20,00,0000100087,2025-06-11,2025-06-11,EGP,C,PO-71487
100,5000000109,OR,2000,20,01,0000100038,2025-04-04,2025-04-04,EGP,C,PO-14349
100,5000000110,OR,1000,20,01,0000100006,2025-11-26,2025-11-26,EGP,C,PO-20406
100,5000000111,OR,1000,10,00,,2026-06-28,2026-06-28,EGP,C,PO-80361
100,5000000112,OR,3000,20,00,,2025-06-01,2025-06-01,EGP,B,PO-14260
100,5000000113,OR,2000,10,01,0000100065,2025-08-09,2025-08-09,EGP,,PO-55116
100,5000000114,OR,1000,10,00,0000100014,2026-03-01,2026-03-01,,A,PO-73448
100,5000000115,OR,1000,20,01,0000100008,2026-04-20,2026-04-21,EGP,C,PO-96610
100,5000000116,OR,3000,20,00,0000100030,2026-04-01,2026-04-01,EGP,C,PO-69995
100,5000000117,ZOR,2000,10,01,0000100058,2026-01-09,2026-01-09,EGP,C,PO-98253
100,5000000118,OR,1000,20,00,0000100055,2026-05-12,2026-05-12,EGP,C,PO-30324
100,5000000119,OR,1000,10,01,0000100050,2026-03-12,2026-03-12,EGP,C,PO-57117
100,5000000120,ZOR,2000,20,00,0000100006,2026-03-24,2026-03-24,EGP,C,PO-91107
100,5000000121,OR,1000,20,00,0000100022,2025-03-13,2025-03-13,EGP,B,PO-40918
100,5000000122,OR,1000,20,00,0000100049,02/05/2025,2025-05-02,EGP,C,PO-55526
100,5000000123,ZOR,1000,10,00,0000100009,2025-06-04,2025-06-05,EGP,C,PO-91828
100,5000000124,OR,1000,10,01,0000100085,2025-12-09,2025-12-09,EGP,C,PO-37256
100,5000000125,OR,1000,20,00,0000100094,2026-06-19,2026-06-19,EGP,C,PO-37302
100,5000000126,OR,1000,20,01,0000100075,2026-07-15,2026-07-15,EGP,A,PO-72350
100,5000000127,OR,2000,10,00,0000100069,2026-01-24,2026-01-24,EGP,A,PO-78061
100,5000000128,OR,1000,20,00,0000100089,2025-11-01,2025-11-01,EGP,C,PO-18023
100,5000000129,OR,3000,20,01,0000100029,2026-07-09,2026-07-09,EGP,B,PO-87896
100,5000000130,OR,2000,10,00,0000100090,2025-04-04,2025-04-04,EGP,C,PO-14600
100,5000000131,OR,3000,10,01,0000100002,2025-12-19,2025-12-19,EGP,B,PO-96981
100,5000000132,OR,2000,10,00,0000100080,2026-07-10,2026-07-11,EGP,C,PO-83788
100,5000000133,OR,3000,20,00,0000100042,2025-08-04,2025-08-04,,C,PO-81888
100,5000000134,OR,3000,20,01,0000100096,2026-05-17,2026-05-17,EGP,C,PO-76984
100,5000000135,OR,1000,10,00,0000100039,27/11/2025,2025-11-27,EGP,C,PO-31315
100,5000000136,OR,1000,10,01,0000100024,2026-02-11,2026-02-11,EGP,C,PO-75266
100,5000000137,OR,1000,10,00,0000100084,14/03/2026,2026-03-14,EGP,B,PO-31803
100,5000000138,ZOR,1000,20,00,0000100057,2026-06-03,2026-06-03,EGP,C,PO-45618
100,5000000139,OR,2000,20,00,0000100004,2025-11-12,2025-11-13,EGP,C,PO-81566
100,5000000140,OR,2000,20,01,0000100059,2025-01-23,2025-01-23,EGP,C,PO-48811
100,5000000141,OR,1000,10,01,0000100078,2026-02-26,2026-02-26,EGP,B,PO-23747
100,5000000142,ZOR,1000,10,01,0000100026,2025-09-26,2025-09-26,EGP,A,PO-86715
100,5000000143,ZOR,2000,10,01,0000100083,2026-04-19,2026-04-19,EGP,C,PO-12490
100,5000000144,OR,2000,20,01,0000100063,2026-04-19,2026-04-19,EGP,C,PO-12940
100,5000000145,OR,1000,20,01,0000100098,2025-11-22,2025-11-22,EGP,C,PO-78075
100,5000000146,OR,1000,10,00,0000100002,2026-02-06,2026-02-06,EGP,C,PO-51500
100,5000000147,OR,2000,10,01,0000100039,2025/02/27,2025-02-27,EGP,C,PO-18493
100,5000000148,OR,2000,20,01,0000100012,2025-09-13,2025-09-13,EGP,C,PO-82406
100,5000000149,OR,2000,20,01,0000100014,2026-01-05,2026-01-05,EGP,C,PO-23630
100,5000000150,OR,1000,10,00,0000100038,2025-02-28,2025-03-01,egp,B,PO-44540
100,5000000151,OR,1000,10,01,0000100014,2025-06-12,2025-06-12,,C,PO-35060
100,5000000152,OR,1000,20,00,0000100041,2025-10-07,2025-10-08,EGP,C,PO-88482
100,5000000153,OR, 2000,20,01,0000100073,2026-03-06,2026-03-06,EGP,C,PO-20664
100,5000000154,OR,1000,10,01,0000100044,2025-08-19,2025-08-19,EGP,B,PO-82723
100,5000000155,OR,3000,20,00,0000100056,2025-03-27,2025-03-27,EGP,C,PO-77756
100,5000000156,OR,2000,10,00,0000100084,2025-09-19,2025-09-19,EGP,C,PO-57683
100,5000000157,ZOR, 1000,20,00,0000100062,2025-04-28,2025-04-28,EGP,C,PO-40455
100,5000000158,OR,2000,10,01,0000100086,2026-07-09,2026-07-09,EGP,A,PO-73961
100,5000000159,OR,1000,10,01,0000100085,2025-07-21,2025-07-22,EGP ,C,PO-82430
100,5000000160,OR,2000,10,00,0000100068,2026/01/31,2026-01-31,EGP,C,PO-36530
100,5000000161,OR,1000,20,01,0000100006,2026-01-04,2026-01-04,EGP,C,PO-96430
100,5000000162,OR,2000,20,00,0000100097,2025-09-10,2025-09-10,EGP,A,PO-15518
100,5000000163,OR,1000,20,01,0000100064,2026-02-13,2026-02-14,EGP,C,PO-64345
100,5000000164,OR, 1000,20,00,0000100029,2026-03-16,2026-03-17,EGP,C,PO-43853
100,5000000165,OR,1000,10,01,0000100025,2025-05-07,2025-05-07,EGP,A,PO-86090
100,5000000166,ZOR,1000,10,00,0000100011,2025-07-09,2025-07-09,EGP,A,PO-54531
100,5000000167,OR, 1000,10,00,0000100069,2025-12-24,2025-12-25,EGP,A,PO-45469
100,5000000168,OR,1000,10,00,0000100041,2025-04-24,2025-04-24,EGP,B,PO-71162
100,5000000169,OR,1000,10,00,0000100001,2025-01-19,2025-01-19,EGP,B,PO-15722
100,5000000170,ZOR,2000,20,00,0000100011,2025-12-10,2025-12-10,EGP,C,PO-26991
100,5000000171,OR,2000,10,00,0000100080,2025-08-20,2025-08-20,EGP,C,PO-98164
100,5000000172,OR,2000,10,00,0000100082,2025-11-04,2025-11-04,EGP,C,PO-87439
100,5000000173,OR,1000,10,00,0000100020,2025-07-22,2025-07-22,EGP,C,PO-85286
100,5000000174,ZOR,3000,20,00,0000100057,2026-07-25,2026-07-25,EGP,C,PO-20394
100,5000000175,OR,1000,20,01,0000100044,2026-06-10,2026-06-10,EGP,A,PO-68459
100,5000000176,OR,1000,20,01,0000100089,2025-08-26,2025-08-26,EGP,C,PO-54494
100,5000000177,OR,1000,20,00,0000100040,2026-01-02,2026-01-02,EGP,B,PO-67178
100,5000000178,OR,2000,10,00,0000100028,2026-03-09,2026-03-09,egp,C,PO-85214
100,5000000179,OR,1000,10,01,0000100007,2025-12-24,2025-12-24,EGP,B,PO-42258
100,5000000180,OR,1000,20,00,0000100038,2025-05-09,2025-05-10,EGP,C,PO-69325
100,5000000181,OR,1000,10,00,0000100001,2026-03-08,2026-03-08,EGP,C,PO-72124
100,5000000182,OR,2000,10,00,0000100095,2026-08-15,2026-08-15,EGP,B,PO-48613
100,5000000183,OR,1000,20,01,0000100013,2025-05-02,2025-05-03,EGP,C,PO-75710
100,5000000184,OR,2000,20,01,0000100087,2026-03-26,2026-03-26,,C,PO-27056
100,5000000185,ZOR,2000,10,00,0000100017,2025-09-04,2025-09-04,EGP,C,PO-22846
100,5000000186,OR,3000,20,00,0000100087,2025-10-27,2025-10-28,EGP,C,PO-86346
100,5000000187,ZOR,2000,20,00,0000100001,2026-08-05,2026-08-05,EGP,B,PO-25190
100,5000000188,OR,1000,10,00,0000100085,2025-11-11,2025-11-11,EGP,C,PO-31165
100,5000000189,OR,2000,20,00,0000100056,2026-05-15,2026-05-15,EGP,C,PO-23316
100,5000000190,OR,1000,10,01,0000100008,2026-06-27,2026-06-27,EGP,C,PO-83656
100,5000000191,OR,1000,20,01,0000100068,2025-11-02,2025-11-03,EGP,C,PO-40860
100,5000000192,OR,1000,20,00,0000100056,2026-04-28,2026-04-29,EGP,C,PO-28689
100,5000000193,OR,1000,10,01,0000100015,2026-05-25,2026-05-25,EGP,C,PO-13458
100,5000000194,ZOR,1000,20,00,0000100039,2025-09-17,2025-09-18,EGP,C,PO-53853
100,5000000195,OR,2000,20,01,0000100022,2026-01-25,2026-01-25,EGP,A,PO-53052
100,5000000196,OR,1000,20,00,0000100092,2026/06/20,2026-06-20,EGP,C,PO-50920
100,5000000197,OR,1000,10,01,0000100089,2025-09-03,2025-09-04,EGP,C,PO-46681
100,5000000198,OR,2000,10,01,0000100079,2025-11-29,2025-11-29,EGP,A,PO-63357
100,5000000199,ZOR,1000,20,00,0000100036,2026-07-26,2026-07-27,egp,C,PO-78732
100,5000000200,OR,1000,10,00,0000100092,2025-11-12,2025-11-12,EGP,C,PO-45040
100,5000000201,ZOR,1000,10,00,0000100083,2025-07-04,2025-07-05,EGP,C,PO-41795
100,5000000202,OR,3000,10,00,0000100088,2025/08/17,2025-08-18,EGP,C,PO-92111
100,5000000203,OR,1000,10,01,0000100069,2025-09-17,2025-09-17,EGP ,C,PO-15525
100,5000000204,OR,2000,20,00,0000100095,2026-07-26,2026-07-26,EGP,C,PO-42067
100,5000000205,OR,2000,10,00,0000100093,2025-02-19,2025-02-19,EGP,B,PO-25683
100,5000000206,ZOR,1000,10,01,,2025-06-28,2025-06-28,EGP,C,PO-44350
100,5000000207,OR,2000,10,00,0000100052,2025-03-26,2025-03-26,EGP,C,PO-62540
100,5000000208,OR,2000,10,00,0000100082,2026-03-09,2026-03-09,EGP,C,PO-57892
100,5000000209,OR,2000,20,00,0000100017,2026-02-04,2026-02-05,EGP,C,PO-87017
100,5000000210,OR,2000,20,01,0000100089,2025-12-30,2025-12-30,EGP,C,PO-14867
100,5000000211,ZOR,1000,20,00,0000100063,2025-07-28,2025-07-28,EGP,C,PO-43012
100,5000000212,OR, 1000,20,01,0000100084,2025-06-01,2025-06-01,EGP,B ,PO-35152
100,5000000213,OR,2000,10,01,0000100005,2025-01-13,2025-01-13,EGP,C,PO-46668
100,5000000214,OR,1000,10,00,0000100024,2026-05-28,2026-05-29,EGP,C,PO-43013
100,5000000215,OR,2000,10,01,0000100023,2026-03-22,2026-03-23,EGP,C,PO-26810
100,5000000216,OR,1000,20,00,0000100093,2026-01-08,2026-01-08,EGP,c,PO-87226
100,5000000217,OR,1000,10,00,0000100066,2026-03-08,2026-03-09,EGP,B,PO-80780
100,5000000218,OR,2000,20,00,0000100090,2025-05-16,2025-05-16,egp,C,PO-98901
100,5000000219,OR,3000,20,00,0000100022,2025-09-02,2025-09-02,EGP,C,PO-89921
100,5000000220,OR, 1000,20,00,0000100014,09/01/2025,2025-01-09,EGP,C,PO-84144
100,5000000221,OR,2000,10,00,0000100010,2025-09-19,2025-09-19,EGP,C,PO-11400
100,5000000222,OR,2000,20,00,0000100098,2025-05-11,2025-05-11,EGP,C,PO-23710
100,5000000223,OR,1000,20,01,0000100098,2025-01-15,2025-01-15,EGP,B,PO-79795
100,5000000224,OR,2000,20,00,,2026-05-31,2026-05-31,EGP,C,PO-57636
100,5000000225,OR,2000,10,01,0000100023,2025-08-16,2025-08-16,EGP,complete,PO-39221
100,5000000226,OR,1000,10,01,0000100053,2025-03-10,2025-03-10,EGP,C,PO-51814
100,5000000227,OR,3000,10,01,0000100011,2026-01-07,2026-01-07,EGP,C,PO-29130
100,5000000228,OR,3000,20,01,0000100047,,2025-12-21,EGP,C,PO-21808
100,5000000229,OR,1000,20,01,0000100016,2026-03-02,2026-03-02,EGP,C,PO-38893
100,5000000230,OR,2000,20,01,0000100096,2025-02-07,2025-02-08,EGP,C,PO-64824
100,5000000231,OR,2000,20,01,0000100095,2025-04-18,2025-04-18,EGP,C,PO-37213
100,5000000232,OR,1000,10,01,0000100013,2025-09-19,2025-09-19,EGP,C,PO-75739
100,5000000233,OR,2000,10,00,0000100097,2026-02-14,2026-02-14,EGP,C,PO-48052
100,5000000234,OR,1000,20,00,0000100076,2025-03-05,2025-03-05,EGP,C,PO-17988
100,5000000235,OR,3000,20,00,0000100091,2025-09-25,2025-09-25,EGP,C,PO-58266
100,5000000236,OR,3000,10,00,0000100042,2025-04-14,2025-04-14,EGP,A,PO-94246
100,5000000237,OR, 1000,10,00,0000100002,2025-10-27,2025-10-27,EGP,C,PO-15768
100,5000000238,OR,2000,10,01,0000100089,2025-12-20,2025-12-20,EGP,A,PO-37256
100,5000000239,OR,2000,10,01,0000100088,2026-06-25,2026-06-26,EGP,C,PO-74912
100,5000000240,OR,1000,20,00,0000100036,2025-08-25,2025-08-26,EGP,C,PO-13251
100,5000000241,OR,1000,20,01,0000100073,2025-03-01,2025-03-02,EGP,C,PO-14918
100,5000000242,OR,1000,10,01,0000100029,2025-08-19,2025-08-19,EGP,C,PO-44925
100,5000000243,OR,2000,20,01,0000100013,2026-07-12,2026-07-12,EGP,C,PO-39641
100,5000000244,OR,1000,10,01,,2026-01-27,2026-01-28,EGP,C,PO-30458
100,5000000245,OR,2000,20,01,0000100042,2026-04-30,2026-04-30,EGP,C,PO-47927
100,5000000246,OR,2000,10,00,0000100075,2025-07-07,2025-07-07,EGP,C,PO-62079
100,5000000247,OR,1000,20,01,0000100009,2026-03-26,2026-03-26,EGP,B,PO-97443
100,5000000248,OR,2000,20,00,0000100069,2025-11-11,2025-11-11,EGP,c,PO-65864
100,5000000249,OR,3000,10,00,0000100046,2026-04-11,2026-04-12,EGP,B,PO-54801
100,5000000250,OR,1000,20,00,0000100066,2026-01-06,2026-01-06,EGP,C,PO-76479
100,5000000251,ZOR,1000,10,00,0000100005,,2025-07-31,EGP,C,PO-32119
100,5000000252,ZOR,1000,20,01,0000100042,2026-08-03,2026-08-04,EGP,B,PO-60872
100,5000000253,ZOR,2000,10,00,0000100001,2026-02-12,2026-02-12,EGP,B,PO-99797
100,5000000254,OR,2000,10,00,0000100003,2025-05-15,2025-05-15,EGP,C,PO-35885
100,5000000255,OR,2000,20,01,0000100077,2026-08-11,2026-08-11,EGP,C,PO-58203
100,5000000256,OR,1000,10,01,0000100067,2025-02-19,2025-02-19,EGP,C,PO-65731
100,5000000257,OR,3000,10,01,0000100028,22/02/2025,2025-02-22,EGP,C,PO-46785
100,5000000258,OR,1000,10,00,0000100085,2025-08-29,2025-08-29,EGP,B,PO-83750
100,5000000259,OR,1000,10,01,0000100097,2025-12-25,2025-12-25,EGP,C,PO-26530
100,5000000260,OR,1000,20,00,0000100037,2025-03-08,2025-03-08,EGP,B,PO-63627
100,5000000261,OR,1000,20,00,0000100007,2025-09-01,2025-09-01,EGP,C,PO-83778
100,5000000262,OR,1000,10,01,0000100031,2026-05-30,2026-05-30,EGP,A,PO-24713
100,5000000263,OR,2000,10,00,0000100013,2025-10-25,2025-10-25,EGP,C,PO-85811
100,5000000264,OR,2000,10,00,0000100023,2025-03-21,2025-03-21,EGP,B,PO-27264
100,5000000265,OR,1000,10,00,0000100057,2026-07-21,2026-07-21,EGP,B,PO-95376
100,5000000266,OR,1000,20,01,0000100043,2025-01-16,2025-01-17,egp,C,PO-87634
100,5000000267,ZOR,2000,20,00,0000100086,2026-01-17,2026-01-17,EGP,C,PO-38444
100,5000000268,OR,1000,10,01,0000100036,2025-07-05,2025-07-05,EGP,C,PO-58957
100,5000000269,OR,2000,10,00,0000100036,2025-05-11,2025-05-12,,C,PO-56454
100,5000000270,OR,2000,10,01,,2025-10-28,2025-10-28,EGP,B,PO-94494
100,5000000271,OR,3000,10,00,0000100037,2026-01-01,2026-01-01,EGP,B,PO-78685
100,5000000272,OR,2000,10,00,0000100049,2026-07-29,2026-07-30,EGP,C,PO-31367
100,5000000273,OR,1000,10,01,0000100056,2025-01-24,2025-01-24,EGP ,C,PO-41222
100,5000000274,ZOR,1000,10,00,0000100047,2025-03-18,2025-03-19,EGP,C,PO-26839
100,5000000275,OR,2000,20,00,0000100047,2025-04-26,2025-04-27,EGP,C,PO-86507
100,5000000276,OR,2000,10,01,0000100093,2025-08-13,2025-08-14,EGP,C,PO-43138
100,5000000277,OR,1000,10,01,0000100057,02/05/2025,2025-05-02,EGP,B,PO-85986
100,5000000278,OR,1000,10,01,0000100072,2026/07/22,2026-07-22,EGP,C,PO-90276
100,5000000279,OR,2000,10,00,0000100044,2025-01-20,2025-01-21,EGP,C,PO-47119
100,5000000280,OR, 1000,20,00,0000100042,2025-02-15,2025-02-16,EGP ,B,PO-18396
100,5000000281,OR,2000,10,00,0000100009,2025-01-10,2025-01-10,EGP,C,PO-75686
100,5000000282,OR,1000,20,01,0000100084,2025-08-17,2025-08-18,EGP,C,PO-20489
100,5000000283,OR,2000,20,01,0000100083,2026-06-12,2026-06-12,EGP,B,PO-51978
100,5000000284,OR,1000,10,00,0000100074,2025-08-05,2025-08-05,EGP,B,PO-38313
100,5000000285,OR,1000,10,00,0000100017,2026-01-05,2026-01-05,EGP,C,PO-42009
100,5000000286,OR,1000,10,00,0000100012,2025-01-25,2025-01-25,EGP,C,PO-58888
100,5000000287,OR,1000,20,01,0000100046,2026-01-20,2026-01-20,EGP,B,PO-69076
100,5000000288,ZOR,2000,10,01,0000100068,2026-05-07,2026-05-07,EGP,C,PO-22693
100,5000000289,OR,3000,20,01,0000100030,2026-03-25,2026-03-25,EGP,C,PO-39051
