MANDT,KUNNR,NAME1,LAND1,ORT01,REGIO,KTOKD,ERDAT
100,0000100030,Cairo Trading Co,EG,Zagazig,SH,Z002,2022-03-02
100,0000100031,Pyramids Industries Co,EG,Aswan,ASN,Z002,2022-01-05
100,0000100032,Mansoura Solutions Co,EG,Cairo,C,Z001,2024-09-18
100,0000100033,Pharaohs Trading Co,EG,Port Said,PTS,Z001,2022-08-26
100,0000100034,New Cairo Manufacturing Co,EG,Tanta,GH,Z001,2022-04-22
100,0000100035,Cairo Supplies Co,EG,Suez,SUZ,Z001,2022-03-11
100,0000100036,CANAL MANUFACTURING CO,EG,Minya,MN,Z001,2024-07-11
100,0000100037,Alex Manufacturing Co,EG,Alexandria,ALX,Z002,2022-05-12
100,0000100038,  RED SEA DISTRIBUTION CO ,EG,Ismailia,IS,Z002,2022-09-22
100,0000100039,Red Sea Distribution Co,EG,Ismailia,IS,Z002,2022-07-07
100,0000100040,Memphis Supplies Co,EG,Aswan,ASN,Z001,2022-06-02
100,0000100041,Pharaohs Industries Co,EG,Giza,GZ,Z002,2024-01-27
100,0000100042,October Solutions Co,EG,Minya,MN,Z001,2022-02-07
100,0000100043,October Manufacturing Co,EG,Damietta,DT,Z001,2023-02-13
100,0000100044,Canal Trading Co,EG,Alexandria,ALX,Z002,2023-11-24
100,0000100045,Sinai Services Co,EG,Mansoura,DK,Z001,2024-07-26
100,0000100046,Pyramids Services Co,EG,Mansoura,DK,Z001,2022-09-03
100,0000100047,CANAL LOGISTICS CO,EG,Tanta,GH,Z001,2022-04-07
100,0000100048,Nile Logistics Co,EG,Tanta,GH,Z002,2022-04-07
100,0000100049,  Upper Egypt Industries Co ,EG,Port Said,PTS,Z002,2023-05-27
100,0000100050,Pharaohs Solutions Co,EG,Giza,GZ,Z001,2022-01-01
100,0000100051,Lotus Industries Co,EG,Ismailia,IS,Z002,2023-11-12
100,0000100052,Sphinx Logistics Co,EG,Tanta,GH,Z001,2024-04-04
100,0000100053,Lotus Industries Co,EG,Cairo,C,Z002,2022-06-15
100,0000100054,Alex Distribution Co,EG,Cairo,C,Z001,2022-07-31
100,0000100055,Sinai Foods Co,Egypt,Mansoura,DK,Z001,2022-02-05
100,0000100056,Obour Industries Co,EG,Port Said,PTS,Z002,2023-04-06
100,0000100057,Helwan Retail Co,EG,Minya,MN,Z001,2023-11-13
100,0000100058,Mansoura Retail Co,EG,Damietta,DT,Z002,2023-04-07
100,0000100059,Cairo Supplies Co,EG,,MN,Z002,2022-05-26
100,0000100060,October Manufacturing Co,EG,Ismailia,IS,Z002,2022-05-30
100,0000100061,Shorouk Distribution Co,EG,Aswan,ASN,Z001,2024-08-28
100,0000100062,Pyramids Manufacturing Co,EG,Minya,MN,Z001,2023-09-18
100,0000100063,  Delta Industries Co ,EG,Aswan,ASN,Z001,2022-03-19
100,0000100064,Pyramids Solutions Co,EG,,DT,Z001,2024-06-27
100,0000100065,Helwan Foods Co,EG,Tanta,GH,Z001,2023-03-23
100,0000100066,Nile Logistics Co,Egypt,Tanta,GH,Z001,2022-04-02
100,0000100067,Sinai Retail Co,EG,Cairo,C,Z001,2024-07-23
100,0000100068,Helwan Industries Co,EG,Giza,GZ,Z001,2023-05-29
100,0000100069,  Upper Egypt Supplies Co ,EG,Alexandria,ALX,Z001,2024-02-06
100,0000100070,Delta Solutions Co,EG,Minya,MN,Z002,2022-12-22
100,0000100071,Helwan Services Co,eg,Port Said,PTS,Z002,2023-02-21
100,0000100072,  Cairo Trading Co ,EG,Ismailia,IS,Z002,2022-10-06
100,0000100073,New Cairo Retail Co,EG,Port Said,PTS,Z002,2022-12-18
100,0000100074,Helwan Logistics Co,EG,Damietta,DT,Z001,2022-06-26
100,0000100075,New Cairo Logistics Co,EG,Minya,MN,Z002,2023-06-13
100,0000100076,Upper Egypt Distribution Co,EG,Cairo,C,Z002,2023-03-30
100,0000100077,Red Sea Logistics Co,EG,Suez,SUZ,Z002,2024-04-30
100,0000100078,Pyramids Distribution Co,EG,Minya,MN,Z002,2023-12-25
100,0000100079,Obour Solutions Co,EG,Alexandria,ALX,Z002,2023-08-22
100,0000100080,  Sinai Services Co ,EG,Aswan,ASN,Z001,2023-01-13
100,0000100081,Red Sea Trading Co,EG,Suez,SUZ,Z001,2024-03-21
100,0000100082,Pyramids Trading Co,EG ,Giza,GZ,Z001,2022-07-27
100,0000100083,Upper Egypt Distribution Co,EG,Tanta,GH,Z002,2024-05-18
100,0000100084,Lotus Industries Co,EG,Port Said,PTS,Z001,2022-04-21
100,0000100085,Alex Retail Co,EG,Mansoura,DK,Z002,2024-05-03
100,0000100086,Upper Egypt Manufacturing Co,EG,Cairo,C,Z001,2022-03-22
100,0000100087,Mansoura Manufacturing Co,EG,Mansoura,DK,Z002,2021-09-30
100,0000100088,Delta Services Co,EG,Mansoura,DK,Z001,2023-07-25
100,0000100089,Delta Logistics Co,EG,Suez,SUZ,Z001,2023-09-23
100,0000100090,Memphis Supplies Co,EG,Zagazig,SH,Z002,2024-06-15
100,0000100091,Pyramids Manufacturing Co,Egypt,,SUZ,Z002,2022-09-15
100,0000100092,Mansoura Supplies Co,EG,Cairo,C,Z001,2023-09-28
100,0000100093,Memphis Distribution Co,EG,Alexandria,ALX,Z001,2023-06-11
100,0000100094,NILE SUPPLIES CO,EG,Tanta,GH,Z001,2022-01-07
100,0000100095,MANSOURA MANUFACTURING CO,EG,Cairo,C,Z002,2023-08-04
100,0000100096,Upper Egypt Manufacturing Co,EG,Ismailia,IS,Z002,2023-01-17
100,0000100097,Pyramids Logistics Co,EG,Zagazig,SH,Z002,2024-08-09
100,0000100098,Cairo Distribution Co,EG,Mansoura,DK,Z002,2023-03-09
100,0000100099,Pyramids Manufacturing Co,EG,Suez,SUZ,Z002,2024-05-14
100,0000100100,New Cairo Supplies Co,EG,Port Said,PTS,Z001,2021-11-18
100,0000100005,Red Sea Distribution Co,EG,Zagazig,SH,Z001,2022-06-05
100,0000100013,Canal Manufacturing Co,EG,Minya,MN,Z001,2022-07-21
100,0000100045,Sinai Services Co,EG,Mansoura,DK,Z001,2024-07-26
100,0000100003,Sinai Manufacturing Co,EG,Damietta,,Z001,2022-06-29
100,0000100047,CANAL LOGISTICS CO,EG,Tanta,GH,Z001,2022-04-07
