MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,VRKME,NETPR,NETWR,WERKS,LGORT,PSTYV,ABGRU
100,5000000014,000010,MAT00070 ,Meeting Table 18,18,EA,5735.02,103230.36,A100,0002,TAN,
100,5000000014,000020,MAT00005,USB-C Dock 2,19,EA,5436.87,103300.53,A100,0003,TAN,
100,5000000014,000030,MAT00076,Industrial Lubricant 19,44,EA,2166.25,95315.0,c100,0002,TAN,
100,5000000015,000010,MAT00067,Stretch Film 17,20,EA,745.48,14909.6,C100,0002,TAN,
100,5000000015,000020,MAT00012,Drill Bit Set 3,14,EA,4764.33,66700.62,G100,0003,TAN,
100,5000000016,000010,MAT00041,USB-C Dock 11,38,EA,14947.05,567987.9,C100,0001,TAN,
100,5000000016,000020,MAT00054,Office Chair 14,37,EA,4612.95,170679.15,G100,0002,TAN,
100,5000000016,000030,MAT00027,Packing Tape 7,35,EA,764.55,26759.25,C100,0003,TAN,
100,5000000017,000010,MAT00071,Pallet 18,23,EA,862.62,15872.21,A100,0001,TAN,
100,5000000017,000020,MAT00074,Standing Desk 19,-1,EA,5888.99,395740.13,C100,0002,TAN,
100,5000000017,000030,MAT00017,USB-C Dock 5,5,EA,2874.38,14371.9,A100,0001,TAN,
100,5000000017,000040,MAT00049,Laptop 15 Inch 13,-1,EA,12543.84,489209.76,C100,0001,TAN,
100,5000000017,000050,MAT00008,Industrial Lubricant 2,32,EA,6836.74,218775.68,C100,0001,TAN,
100,5000000018,000010,MAT00050,Filing Cabinet 13,47,EA,11300.8,531137.6,A100,0003,TAN,
100,5000000018,000020,MAT00047,Stretch Film 12,13,EA,662.78,8616.14,C100,0001,TAN,
100,5000000018,000030,MAT00065,Wireless Keyboard 17,28,EA,4177.27,116963.56,c100,0001,TAN,
100,5000000018,000040,MAT00024,Tool Kit 6,29,EA,703.03,20387.87,C100,0002,TAN,
100,5000000018,000050,MAT00064 ,Drill Bit Set 16,44,EA,,138603.96,A100,0001,TAN,
100,5000000019,000010,MAT00025,Barcode Scanner 7,16,EA,22216.96,355471.36,C100,0002,TAN,
100,5000000019,000020,MAT00023,Pallet 6,58,EA,1115.24,64683.92,C100,0001,TAN,
100,5000000020,000010,MAT00078,Filing Cabinet 20,56,EA,9485.67,531197.52,c100,0001,TAN,
100,5000000020,000020,mat00054,Office Chair 14,26,EA,4581.32,119114.32,G100,0002,TAN,
100,5000000020,000030,MAT00040,Drill Bit Set 10,46,EA,3228.56,148513.76,A100,0002,TAN,
100,5000000021,000010,MAT00056,Safety Gloves 14,6,EA,5418.9,32513.4,A100,0001,TAN,
100,5000000022,000010,MAT00067,Stretch Film 17,13,EA,798.66,10382.58,G100,0001,TAN,
100,5000000023,000010, MAT00058,Office Chair 15,17,EA,5080.19,86363.23,A100,0002,TAN,
100,5000000024,000010,MAT00061,Business Monitor 16,57,EA,-15316.15,873020.55,C100,0002,TAN,
100,5000000025,000010,mat00043,Carton Box 11,1,ea,659.2,659.2,A100,0002,TAN,
100,5000000025,000020,MAT00057,Wireless Keyboard 15,27,EA,32711.31,883205.37,G100,0002,TAN,
100,5000000025,000030,MAT00053,USB-C Dock 14,15,EA,34351.52,515272.8,A100,0001,TAN,
100,5000000026,000010,MAT00023,Pallet 6,29,EA,976.25,28311.25,G100,0003,TAN,
100,5000000026,000020,MAT00060,Tool Kit 15,1,EA,2162.28,2162.28,G100,0001,TAN,
100,5000000027,000010,MAT00034,Desk Lamp 9,2,EA,9469.33,18938.66,G100,0003,TAN,
100,5000000027,000020,MAT00033,Business Monitor 9,47,EA,26627.67,1251500.49,G100,0001,TAN,
100,5000000027,000030,MAT00054,Office Chair 14,59,EA,5024.28,296432.52,C100,0003,TAN,
100,5000000027,000040,MAT00030,Standing Desk 8,19,EA,6299.51,119690.69,C100,0001,TAN,
100,5000000028,000010,MAT00056,Safety Gloves 14,46,EA,5372.42,247131.32,C100,0002,TAN,
100,5000000029,000010,MAT00072,Safety Gloves 18,4,EA,4653.69,18614.76,C100,0002,TAN,
100,5000000029,000020,MAT00063,Packing Tape 16,16,EA,712.7,11403.2,G100,0002,TAN,
100,5000000029,000030,MAT00047,Stretch Film 12,15,EA,576.7,8650.5,A100,0001,TAN,
100,5000000029,000040,MAT00022,Office Chair 6,35,EA,,211947.75,C100,0001,TAN,
100,5000000029,000050,MAT00055,Packing Tape 14,26,EA ,1124.03,29224.78,G100,0002,TAN,
100,5000000030,000010,MAT00012,Drill Bit Set 3,58,EA,4478.37,259745.46,A100,0001,TAN,
100,5000000031,000010,MAT00078,Filing Cabinet 20,11,EA,8351.06,91861.66,A100,0002,TAN,
100,5000000031,000020,MAT00031,Packing Tape 8,48,EA,160.3,7694.4,A100,0001,TAN,
100,5000000032,000010,MAT00074,Standing Desk 19,6,EA,5383.76,32302.56,C100,0003,TAN,
100,5000000032,000020,MAT00040,Drill Bit Set 10,19,EA,3644.43,69244.17,C100,0002,TAN,
100,5000000032,000030,MAT00054,Office Chair 14,38,EA,5322.96,202272.48,C100,0001,TAN,
100,5000000032,000040,mat00073,USB-C Dock 19,29,EA,5663.84,164251.36,C100,0002,TAN,
100,5000000033,000010,MAT00072,Safety Gloves 18,48,EA,4655.17,223448.16,A100,0002,TAN,
100,5000000033,000020,MAT00048,Safety Helmet 12,44,EA,1665.82,73296.08,G100,0003,TAN,
100,5000000034,000010,MAT00072,Safety Gloves 18,0,EA,3874.61,116238.3,A100,0003,TAN,
100,5000000034,000020,MAT00026,Filing Cabinet 7,55,EA,10439.43,574168.65,C100,0003,TAN,
100,5000000034,000030,MAT00056,Safety Gloves 14,14,EA,5727.13,80179.82,A100,0002,TAN,
100,5000000035,000010,MAT00056,Safety Gloves 14,24,Each,6093.5,146244.0,G100,0003,TAN,
100,5000000035,000020,MAT00023,Pallet 6,14,EA,1114.47,15602.58,G100,0002,TAN,
100,5000000035,000030,MAT00070,Meeting Table 18,56,ea,,274378.16,A100,0002,TAN,
100,5000000035,000040,MAT00014,Filing Cabinet 4,42,EA,11022.55,462947.1,A100,0003,TAN,
100,5000000036,000010,MAT00003 ,Packing Tape 1,19,EA,876.35,16650.65,A100,0003,TAN,
100,5000000036,000020,MAT00039,Carton Box 10,45,EA,315.05,14177.25,G100,0001,TAN,
100,5000000036,000030,MAT00030,Standing Desk 8,22,EA,6429.32,141445.04,G100,0002,TAN,
100,5000000037,000010,MAT00076,Industrial Lubricant 19,6,EA,2322.41,13934.46,G100,0001,TAN,
100,5000000037,000020,MAT00062,Office Chair 16,31,EA,15072.83,467257.73,C100,0002,TAN,
100,5000000037,000030,MAT00029,Wireless Keyboard 8,15,EA,27590.62,413859.3,A100,0001,TAN,
100,5000000037,000040,MAT00003,Packing Tape 1,30,EA,770.55,23116.5,C100,0003,TAN,
100,5000000037,000050,mat00063,Packing Tape 16,9,EA,640.24,5762.16,A100,0003,TAN,
100,5000000038,000010,MAT00070,Meeting Table 18,53,EA,5705.12,302371.36,G100,0002,TAN,
100,5000000038,000020,MAT00078,Filing Cabinet 20,5,EA,9249.69,46248.45,G100,0001,TAN,
100,5000000038,000030,MAT00012,Drill Bit Set 3,55,EA,4171.46,229430.3,c100,0003,TAN,
100,5000000038,000040,MAT00048,Safety Helmet 12,-1,EA,1954.74,5864.22,C100,0001,TAN,
100,5000000038,000050,MAT00014,Filing Cabinet 4,49,EA,11327.4,555042.6,G100,0001,TAN,
100,5000000039,000010,MAT00016,Safety Helmet 4,36,EA,263.98,9503.28,A100,0002,TAN,
100,5000000039,000020,MAT00053,USB-C Dock 14,20,EA,31949.78,638995.6,G100,0002,TAN,
100,5000000039,000030,MAT00023,Pallet 6,50,EA,1045.64,52282.0,A100,0002,TAN,
100,5000000039,000040,MAT00017,USB-C Dock 5,8,EA,3040.29,24322.32,A100,0003,TAN,
100,5000000040,000010,MAT00031,Packing Tape 8,49,ea,162.67,7970.83,C100,0002,TAN,
100,5000000041,000010,MAT00002,Desk Lamp 1,37,EA,7927.62,293321.94,A100,0003,TAN,
100,5000000041,000020,MAT00068,Safety Gloves 17,58,EA,6913.04,400956.32,A100,0002,TAN,
100,5000000041,000030,MAT00041,USB-C Dock 11,16,EA,14447.66,231162.56,C100,0003,TAN,
100,5000000041,000040,MAT00053,USB-C Dock 14,26,EA,35136.14,913539.64,G100,0002,TAN,
100,5000000042,000010,MAT00074,Standing Desk 19,25,EA ,5582.99,139574.75,G100,0003,TAN,
100,5000000043,000010,MAT00001,Barcode Scanner 1,32,EA,8987.83,431415.84,G100,0001,TAN,
100,5000000043,000020,MAT00060,Tool Kit 15,51,EA,1959.21,99919.71,A100,0003,TAN,
100,5000000043,000030,MAT00032,Safety Helmet 8,2,EA,325.14,650.28,G100,0001,TAN,
100,5000000043,000040,MAT00028,Safety Gloves 7,42,EA,6216.44,261090.48,A100,0001,TAN,
100,5000000043,000050,MAT00014,Filing Cabinet 4,38,EA,10608.09,322485.94,G100,0002,TAN,
100,5000000044,000010,MAT00006,Meeting Table 2,7,EA,13967.12,97769.84,A100,0001,TAN,
100,5000000044,000020,MAT00061,Business Monitor 16,53,EA,16166.32,856814.96,A100,0003,TAN,
100,5000000045,000010,MAT00052,Safety Helmet 13,54,EA,5369.99,289979.46,C100,0001,TAN,
100,5000000045,000020,MAT00041,USB-C Dock 11,55,EA,16082.83,884555.65,A100,0001,TAN,
100,5000000045,000030,MAT00058,Office Chair 15,17,EA,4148.75,70528.75,A100,0003,TAN,
100,5000000045,000040,MAT00060,Tool Kit 15,57,EA,1932.53,110154.21,A100,0002,TAN,
100,5000000046,000010,MAT00032,Safety Helmet 8,24,EA ,289.66,6951.84,C100,0002,TAN,
100,5000000046,000020,MAT00039,Carton Box 10,5,EA,365.09,1825.45,C100,0003,TAN,
100,5000000046,000030,MAT00080,Tool Kit 20,41,EA,2378.07,97500.87,G100,0002,TAN,
100,5000000046,000040,MAT00051,Bubble Wrap 13,16,EA,807.2,12915.2,A100,0003,TAN,
100,5000000046,000050,MAT00022,Office Chair 6,40,EA,7317.28,292691.2,C100,0003,TAN,
100,5000000047,000010,MAT00054,Office Chair 14,16,EA,5472.84,87565.44,C100,0002,TAN,
100,5000000047,000020,MAT00063,Packing Tape 16,7,EA,657.13,4599.91,G100,0002,TAN,
100,5000000047,000030,MAT00067,Stretch Film 17,39,EA,671.38,26183.82,C100,0001,TAN,
100,5000000048,000010,MAT00069,USB-C Dock 18,32,EA,35218.9,1127004.8,C100,0003,TAN,
100,5000000049,000010,MAT00008,Industrial Lubricant 2,36,EA ,6432.53,231571.08,C100,0002,TAN,
100,5000000050,000010,MAT00069,USB-C Dock 18,47,EA,35154.97,1652283.59,A100,0003,TAN,
100,5000000050,000020,MAT00068,Safety Gloves 17,27,EA,6997.6,188935.2,G100,0002,TAN,
100,5000000050,000030,MAT00026,Filing Cabinet 7,57,EA,10463.82,596437.74,G100,0001,TAN,
100,5000000051,000010,MAT00008,Industrial Lubricant 2,45,EA,6606.51,297292.95,C100,0002,TAN,
100,5000000051,000020,MAT00021,Business Monitor 6,60,EA,30609.76,1836585.6,C100,0003,TAN,
100,5000000051,000030,MAT00011,Bubble Wrap 3,-1,EA,33.63,1580.61,C100,0003,TAN,
100,5000000051,000040,MAT00051,Bubble Wrap 13,43,EA,908.99,39086.57,A100,0001,TAN,
100,5000000052,000010,MAT00003,Packing Tape 1,31,EA,-891.21,27627.51,A100,0003,TAN,
100,5000000052,000020,MAT00013,Business Monitor 4,2,EA,35581.14,71162.28,G100,0001,TAN,
100,5000000052,000030,MAT00005,USB-C Dock 2,20,EA,5350.53,107010.6,G100,0002,TAN,
100,5000000053,000010,MAT00064,Drill Bit Set 16,59,EA,3493.63,206124.17,C100,0003,TAN,
100,5000000053,000020,MAT00023,Pallet 6,53,EA,1179.88,62533.64,A100,0002,TAN,
100,5000000053,000030,MAT00048,Safety Helmet 12,41,EA,1847.52,75748.32,G100,0001,TAN,
100,5000000054,000010,MAT00032,Safety Helmet 8,5,EA,287.79,1438.95,A100,0001,TAN,
100,5000000054,000020,MAT00007,Stretch Film 2,55,PC,796.19,43790.45,A100,0003,TAN,
100,5000000054,000030, MAT00020,Tool Kit 5,35,EA,3510.56,122869.6,G100,0003,TAN,
100,5000000054,000040,MAT00012,Drill Bit Set 3,32,EA,4946.69,158294.08,C100,0001,TAN,
100,5000000055,000010,MAT00010,Office Chair 3,24,EA,,378643.44,G100,0001,TAN,
100,5000000055,000020,MAT00051,Bubble Wrap 13,44,EA,959.55,42220.2,A100,0003,TAN,
100,5000000056,000010,MAT00018,Filing Cabinet 5,47,EA,3422.42,160853.74,C100,0002,TAN,
100,5000000056,000020,MAT00015,Carton Box 4,48,EA,179.08,8595.84,G100,0001,TAN,
100,5000000057,000010,MAT00077,Business Monitor 20,23,EA,4318.48,99325.04,A100,0003,TAN,
100,5000000057,000020,MAT00026,Filing Cabinet 7,45,EA,9857.92,443606.4,C100,0003,TAN,
100,5000000057,000030,MAT00038,Office Chair 10,42,PC,4704.14,197573.88,A100,0003,TAN,
100,5000000058,000010,MAT00007,Stretch Film 2,30,EA,848.54,25456.2,C100,0003,TAN,
100,5000000058,000020,MAT00052,Safety Helmet 13,32,EA,6143.35,196587.2,G100,0001,TAN,
100,5000000058,000030,MAT00008,Industrial Lubricant 2,16,EA,6887.48,110199.68,G100,0001,TAN,
100,5000000059,000010,MAT00056,Safety Gloves 14,58,EA,-6071.69,352158.02,A100,0002,TAN,
100,5000000059,000020,MAT00039,Carton Box 10,29,EA,373.97,10845.13,C100,0002,TAN,
100,5000000059,000030,MAT00064,Drill Bit Set 16,43,Each,3046.0,130978.0,A100,0003,TAN,
100,5000000059,000040,MAT00045,Laptop 15 Inch 12,42,EA,11231.55,707587.65,C100,0001,TAN,
100,5000000060,000010,MAT00018,Filing Cabinet 5,59,EA,3275.69,193265.71,G100,0002,TAN,
100,5000000060,000020,MAT00077,Business Monitor 20,59,EA,4850.83,286198.97,G100,0002,TAN,
100,5000000060,000030,MAT00050,Filing Cabinet 13,12,EA,10345.19,124142.28,C100,0001,TAN,
100,5000000061,000010,MAT00027,Packing Tape 7,10,EA,877.21,8772.1,A100,0001,TAN,
100,5000000062,000010,MAT00036,Safety Gloves 9,12,EA,2920.41,35044.92,G100,0002,TAN,
100,5000000062,000020,MAT00068,Safety Gloves 17,51,EA,,309072.75,G100,0002,TAN,
100,5000000062,000030,MAT00004,Industrial Lubricant 1,37,EA,4814.77,178146.49,A100,0001,TAN,
100,5000000062,000040,MAT00066,Standing Desk 17,3,EA,4622.52,13867.56,A100,0002,TAN,
100,5000000063,000010,mat00038,Office Chair 10,60,EA,4574.67,274480.2,G100,0002,TAN,
100,5000000064,000010,MAT00015,Carton Box 4,59,EA,201.17,11869.03,C100,0002,TAN,
100,5000000064,000020,MAT00050,Filing Cabinet 13,35,EA,9579.81,335293.35,G100,0003,TAN,
100,5000000064,000030,MAT00057,Wireless Keyboard 15,41,EA,33974.61,1392959.01,G100,0003,TAN,
100,5000000065,000010,MAT00080,Tool Kit 20,20,EA,2624.58,52491.6,G100,0002,TAN,
100,5000000065,000020,MAT00014,Filing Cabinet 4,53,EA,11586.51,614085.03,A100,0001,TAN,
100,5000000065,000030,MAT00077,Business Monitor 20,31,EA,4220.72,130842.32,A100,0001,TAN,
100,5000000065,000040,MAT00049,Laptop 15 Inch 13,19,EA,13030.31,247575.89,C100,0002,TAN,
100,5000000065,000050,MAT00047,Stretch Film 12,60,EA,626.43,37585.8,G100,0003,TAN,
100,5000000066,000010,MAT00006,Meeting Table 2,41,EA,13387.71,548896.11,C100,0002,TAN,
100,5000000066,000020,MAT00060,Tool Kit 15,26,EA ,1834.84,47705.84,G100,0001,TAN,
100,5000000067,000010,MAT00059,Pallet 15,47,EA,266.19,12510.93,G100,0003,TAN,
100,5000000068,000010,MAT00027,Packing Tape 7,49,EA,781.35,38286.15,A100,0003,TAN,
100,5000000068,000020,MAT00025,Barcode Scanner 7,52,EA,19949.38,1037367.76,,0002,TAN,
100,5000000068,000030,MAT00001,Barcode Scanner 1,56,EA,10231.63,572971.28,G100,0002,TAN,
100,5000000069,000010,MAT00028,Safety Gloves 7,33,EA,5461.74,180237.42,C100,0001,TAN,
100,5000000069,000020,MAT00051,Bubble Wrap 13,32,EA,811.13,25956.16,G100,0002,TAN,
100,5000000069,000030,MAT00080,Tool Kit 20,20,EA,2629.56,52591.2,C100,0002,TAN,
100,5000000070,000010,MAT00024,Tool Kit 6,45,ea,726.32,32684.4,C100,0002,TAN,
100,5000000070,000020,MAT00064,Drill Bit Set 16,12,EA,3161.03,37932.36,C100,0002,TAN,
100,5000000070,000030,MAT00013,Business Monitor 4,5,EA,29092.62,145463.1,C100,0001,TAN,
100,5000000070,000040,MAT99999,Safety Helmet 8,17,EA,292.54,4973.18,G100,0003,TAN,
100,5000000071,000010,MAT00020,Tool Kit 5,6,EA,4267.47,25604.82,C100,0003,TAN,
100,5000000071,000020,MAT00005,USB-C Dock 2,18,EA,6542.93,117772.74,C100,0003,TAN,
100,5000000071,000030,MAT00019,Carton Box 5,5,Each,938.03,4690.15,G100,0003,TAN,
100,5000000071,000040,MAT00069,USB-C Dock 18,19,EA,34227.95,650331.05,C100,0002,TAN,
100,5000000072,000010,MAT00021,Business Monitor 6,24,EA,32365.6,776774.4,G100,0001,TAN,
100,5000000072,000020,MAT00006,Meeting Table 2,7,EA,12154.95,85084.65,C100,0003,TAN,
100,5000000072,000030,MAT00007 ,Stretch Film 2,52,EA,798.95,41545.4,G100,0003,TAN,
100,5000000072,000040,MAT99999,Business Monitor 16,59,EA,,830003.74,C100,0001,TAN,
100,5000000073,000010,MAT00024,Tool Kit 6,55,EA,727.69,40022.95,C100,0001,TAN,
100,5000000073,000020,MAT00040,Drill Bit Set 10,47,EA,3237.45,152160.15,A100,0003,TAN,
100,5000000073,000030, MAT00016,Safety Helmet 4,48,EA,274.87,13193.76,C100,0003,TAN,
100,5000000074,000010,mat00002,Desk Lamp 1,20,EA,6938.3,138766.0,C100,0002,TAN,
100,5000000074,000020,MAT00058,Office Chair 15,52,EA,4837.97,251574.44,C100,0002,TAN,
100,5000000074,000030, MAT00029,Wireless Keyboard 8,60,EA,33700.22,2022013.2,A100,0001,TAN,
100,5000000075,000010,MAT00016,Safety Helmet 4,6,EA,307.41,1844.46,A100,0002,TAN,
100,5000000075,000020,MAT00003,Packing Tape 1,12,EA,742.15,8905.8,G100,0003,TAN,
100,5000000075,000030,MAT00057,Wireless Keyboard 15,58,EA,31358.33,1818783.14,A100,0003,TAN,
100,5000000075,000040,MAT00010,Office Chair 3,14,EA,15852.42,221933.88,X999,0001,TAN,
100,5000000075,000050,MAT00013,Business Monitor 4,33,EA,34930.73,1152714.09,A100,0001,TAN,
100,5000000076,000010,MAT00006,Meeting Table 2,0,EA,13389.67,495417.79,G100,0002,TAN,
100,5000000077,000010, MAT00044,Tool Kit 11,9,EA,5979.39,53814.51,C100,0002,TAN,
100,5000000077,000020,MAT00076,Industrial Lubricant 19,5,EA,,11724.1,A100,0002,TAN,
100,5000000077,000030,MAT00047,Stretch Film 12,34,EA,623.55,21200.7,A100,0001,TAN,
100,5000000077,000040,MAT00038 ,Office Chair 10,46,EA,4743.83,218216.18,G100,0002,TAN,
100,5000000078,000010,MAT00002,Desk Lamp 1,47,EA,7050.91,331392.77,A100,0002,TAN,
100,5000000078,000020,MAT00014,Filing Cabinet 4,16,EA,9555.14,152882.24,G100,0001,TAN,
100,5000000078,000030,MAT00051,Bubble Wrap 13,3,EA,847.8,2543.4,C100,0003,TAN,
100,5000000079,000010,MAT00011,Bubble Wrap 3,40,EA,31.07,1242.8,A100,0002,TAN,
100,5000000080,000010,MAT00075,Carton Box 19,35,EA,868.63,30402.05,A100,0003,TAN,
100,5000000080,000020,MAT00015,Carton Box 4,54,EA,199.83,10790.82,G100,0001,TAN,
100,5000000080,000030,MAT00034,Desk Lamp 9,28,Each,10893.23,305010.44,A100,0001,TAN,
100,5000000080,000040,MAT00009,Business Monitor 3,40,EA,46646.02,1865840.8,G100,0003,TAN,
100,5000000080,000050,MAT00037,Business Monitor 10,31,EA,,374979.1,G100,0003,TAN,
100,5000000081,000010,mat00022,Office Chair 6,15,EA,7294.14,109412.1,G100,0001,TAN,
100,5000000081,000020,MAT00064,Drill Bit Set 16,49,EA,3219.62,157761.38,G100,0001,TAN,
100,5000000081,000030,MAT00025,Barcode Scanner 7,25,EA,18349.49,458737.25,C100,0001,TAN,
100,5000000081,000040,MAT00038,Office Chair 10,32,EA,4111.07,131554.24,G100,0002,TAN,
100,5000000082,000010,MAT00021,Business Monitor 6,29,EA,27555.94,799122.26,A100,0002,TAN,
100,5000000082,000020,MAT00065,Wireless Keyboard 17,2,EA,4888.18,9776.36,G100,0002,TAN,
100,5000000082,000030,MAT00014,Filing Cabinet 4,37,EA,10487.19,388026.03,G100,0003,TAN,
100,5000000083,000010,mat00026,Filing Cabinet 7,41,EA,10051.84,412125.44,C100,0001,TAN,
100,5000000083,000020,MAT00065,Wireless Keyboard 17,35,EA,4279.18,149771.3,A100,0002,TAN,
100,5000000083,000030,MAT00030,Standing Desk 8,21,EA,6002.66,126055.86,,0001,TAN,
100,5000000084,000010,MAT00005,USB-C Dock 2,44,EA,6222.05,273770.2,G100,0002,TAN,
100,5000000084,000020,MAT00079,Packing Tape 20,14,EA,50.7,709.8,,0002,TAN,
100,5000000084,000030,MAT00060,Tool Kit 15,56,PC,1829.01,102424.56,G100,0002,TAN,
100,5000000085,000010,MAT00073,USB-C Dock 19,16,EA,5607.17,89714.72,C100,0003,TAN,
100,5000000086,000010,MAT00023,Pallet 6,47,EA,1158.28,54439.16,C100,0002,TAN,
100,5000000086,000020,MAT00014,Filing Cabinet 4,52,EA,10635.12,553026.24,G100,0001,TAN,
100,5000000087,000010,MAT00059,Pallet 15,7,EA,248.94,1742.58,G100,0003,TAN,
100,5000000087,000020,MAT00021,Business Monitor 6,-1,EA,30152.61,874425.69,G100,0003,TAN,
100,5000000087,000030,MAT00022,Office Chair 6,21,EA,7507.63,157660.23,C100,0003,TAN,
100,5000000088,000010,MAT00046,Meeting Table 12,42,EA,16125.01,677250.42,C100,0002,TAN,
100,5000000088,000020,MAT00008,Industrial Lubricant 2,0,EA,6562.58,367504.48,G100,0003,TAN,
100,5000000089,000010, MAT00055,Packing Tape 14,17,EA,1229.83,20907.11,A100,0002,TAN,
100,5000000090,000010,MAT00069,USB-C Dock 18,3,EA,35434.55,106303.65,G100,0002,TAN,
100,5000000090,000020,MAT00063,Packing Tape 16,11,EA,665.83,7324.13,C100,0003,TAN,
100,5000000091,000010,MAT00069,USB-C Dock 18,18,EA,34364.99,618569.82,G100,0003,TAN,
100,5000000091,000020,MAT00073,USB-C Dock 19,30,EA,5902.24,177067.2,A100,0001,TAN,
100,5000000091,000030,MAT00052,Safety Helmet 13,59,EA,5437.32,320801.88,G100,0002,TAN,
100,5000000091,000040,MAT00072,Safety Gloves 18,-5,EA,3953.89,31631.12,G100,0003,TAN,
100,5000000092,000010,MAT00039,Carton Box 10,10,EA,348.36,3483.6,G100,0001,TAN,
100,5000000092,000020, MAT00066,Standing Desk 17,45,EA,4522.53,203513.85,A100,0002,TAN,
100,5000000092,000030,MAT00058,Office Chair 15,8,EA,4540.82,36326.56,C100,0002,TAN,
100,5000000092,000040,MAT00026,Filing Cabinet 7,3,EA,10773.3,32319.9,G100,0003,TAN,
100,5000000093,000010,MAT00020,Tool Kit 5,46,EA,-3568.34,164143.64,G100,0003,TAN,
100,5000000093,000020,MAT00013,Business Monitor 4,29,EA,31985.53,927580.37,C100,0001,TAN,
100,5000000093,000030,MAT00006,Meeting Table 2,14,EA,11651.96,163127.44,A100,0002,TAN,
100,5000000093,000040,MAT00022,Office Chair 6,11,EA,6304.07,69344.77,G100,0003,TAN,
100,5000000094,000010,MAT00014,Filing Cabinet 4,31,EA,10579.64,327968.84,C100,0001,TAN,
100,5000000094,000020,MAT99999,Stretch Film 2,58,EA,744.82,43199.56,A100,0002,TAN,
100,5000000094,000030,MAT00022,Office Chair 6,25,EA,6553.43,163835.75,C100,0001,TAN,
100,5000000094,000040,MAT00019,Carton Box 5,14,EA,-963.71,13491.94,G100,0001,TAN,
100,5000000095,000010,MAT00044,Tool Kit 11,39,EA,-5602.31,218490.09,G100,0003,TAN,
