MANDT,MATNR,MTART,MATKL,MEINS,BRGEW,NTGEW,GEWEI,ERSDA
100,MAT00066,FERT,OFFC,EA,2.875,2.214,KG,2020-02-19
100,MAT00067,ROH,PACK,EA,30.419,24.748,KG,2019-12-15
100,MAT00068,HAWA,MRO,EA,34.984,30.515,KG,2022-12-27
100,MAT00069,FERT,ELEC,EA,12.842,9.657,KG,2020-03-08
100,MAT00070,fert,OFFC,EA,24.108,18.453,KG,2022-05-04
100,MAT00071,ROH,PACK,EA,14.472,10.988,KG,2021-08-25
100,MAT00072,hawa,MRO,EA,34.028,28.556,KG,2020-03-14
100,MAT00073,FERT,ELEC,EA,28.005,26.36,KG,2019-10-30
100,MAT00074,FERT,OFFC,EA,31.053,25.201,KG,2021-08-08
100,MAT00075,ROH,PACK,EA,34.131,31.369,KG,2021-04-10
100,MAT00076,HAWA,MRO,EA,18.07,17.184,KG,2021-08-31
100,MAT00077,fert,,EA,22.509,20.637,KG,2022-11-20
100,MAT00078,FERT,OFFC,EA,19.742,14.852,KG,2019-08-30
100,MAT00079,ROH,PACK,EA ,11.197,9.948,KG,2019-08-18
100,MAT00080,HAWA,MRO,EA,8.997,7.066,KG,2020-05-27
100,MAT00065,FERT,ELEC,EA,8.294,7.627,KG,2020-08-14
100,MAT00026,FERT,OFFC,EA,31.773,26.119,KG,2023-05-25
100,MAT00053,FERT,ELEC,EA,-23.894,,KG,2023-06-25
100,MAT00071,ROH,PACK,EA,14.472,10.988,KG,2021-08-25
